,Unnamed: 0.1,Unnamed: 0,Number,Name,Start,End,Link,id,namespace,orig_price,fmt_orig_price,tags,seller,taglist,action,adventure,puzzle,rpg,shooter,strategy,survival,osx,windows,singleplayer,multiplayer
0,0,0,477,The Bridge,3/14/2024,3/21/2024,https://store.epicgames.com/en-US/p/the-bridge,6b228a1ad940496dabc89ec6640107f3,epic,999.0,$9.99,"['1298', '1370', '9547', '1117', '9549']",The Quantum Astrophysicists Guild,"[{'id': '1298'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '9549'}]",False,True,True,False,False,False,False,False,True,True,False
1,1,1,476,Deus Ex: Mankind Divided,3/14/2024,3/21/2024,https://store.epicgames.com/en-US/p/deus-ex-mankind-divided-4c6370,a74220fd07e34b01987fb801433fb2e6,5c5b2b01c8ce475d86cdd2c76fd11f7b,4499.0,$44.99,"['1336', '1370', '9547', '1084']",Eidos Interactive Corporation,"[{'id': '1336'}, {'id': '1370'}, {'id': '9547'}, {'id': '1084'}]",False,False,False,False,False,False,False,False,True,True,False
2,2,2,475,Astro Duel 2,3/7/2024,3/14/2024,https://store.epicgames.com/en-US/p/astro-duel-2-e1261d,bc38eac0277d41ec955690e25779cb53,4a681a809a094e2c8dcc68353c68fed6,1999.0,$19.99,"['1216', '21894', '19847', '9547', '9549', '1264', '1299', '1110', '22776', '1370', '1151', '1183', '10719']",,"[{'id': '1216'}, {'id': '21894'}, {'id': '19847'}, {'id': '9547'}, {'id': '9549'}, {'id': '1264'}, {'id': '1299'}, {'id': '1110'}, {'id': '22776'}, {'id': '1370'}, {'id': '1151'}, {'id': '1183'}, {'id': '10719'}]",True,False,False,False,False,False,False,False,True,True,False
3,3,3,474,Aerial_Knight’s Never Yield,2/29/2024,3/7/2024,https://store.epicgames.com/en-US/p/aerial-knights-never-yield,2fecb1793ce446408cd869611400a797,2ed7ed64d8604265924b85bbd5670220,1199.0,$11.99,"['1216', '21894', '9547', '9549', '1263']",Headup Gmbh,"[{'id': '1216'}, {'id': '21894'}, {'id': '9547'}, {'id': '9549'}, {'id': '1263'}]",True,False,False,False,False,False,False,False,True,False,False
4,4,4,473,Super Meat Boy Forever,2/22/2024,2/29/2024,https://store.epicgames.com/en-US/p/super-meat-boy-forever,ef66029a1c0d467ea7755f6a88b4088c,epic,1999.0,$19.99,"['1216', '1370', '9547', '1151']",,"[{'id': '1216'}, {'id': '1370'}, {'id': '9547'}, {'id': '1151'}]",True,False,False,False,False,False,False,False,True,True,False
5,5,5,472,Dakar Desert Rally,2/15/2024,2/22/2024,https://store.epicgames.com/en-US/p/dakar-desert-rally,aca45f8a6b124590af039f97e148bd89,ac98aa34584648f2b71152e509191c1c,2999.0,$29.99,"['1188', '21125', '9547', '21135', '1393', '21138', '1203', '21139', '21140', '21141', '1370', '1212', '21149']",,"[{'id': '1188'}, {'id': '21125'}, {'id': '9547'}, {'id': '21135'}, {'id': '1393'}, {'id': '21138'}, {'id': '1203'}, {'id': '21139'}, {'id': '21140'}, {'id': '21141'}, {'id': '1370'}, {'id': '1212'}, {'id': '21149'}]",False,False,False,False,False,False,False,False,True,True,True
6,6,6,471,Lost Castle,2/8/2024,2/15/2024,https://store.epicgames.com/en-US/p/lost-castle-abb2e2,186b5f89167f48fd94a9538ebfe214c6,ab29925a0a9a49598adba45d108ceb3e,999.0,$9.99,"['1264', '1265', '21894', '1367', '1370', '1083', '21147', '9547', '35244', '9549']",,"[{'id': '1264'}, {'id': '1265'}, {'id': '21894'}, {'id': '1367'}, {'id': '1370'}, {'id': '1083'}, {'id': '21147'}, {'id': '9547'}, {'id': '35244'}, {'id': '9549'}]",False,False,False,False,False,False,False,False,True,True,False
7,7,7,470,Doki Doki Literature Club Plus!,2/8/2024,2/15/2024,https://store.epicgames.com/en-US/p/doki-doki-literature-club-plus,76cd108ce4354545bd825e181262dbad,1311a5735ed844c0b3c47027cab321f0,1499.0,$14.99,"['1218', '1367', '1370', '9547', '21147', '35244', '10719']",,"[{'id': '1218'}, {'id': '1367'}, {'id': '1370'}, {'id': '9547'}, {'id': '21147'}, {'id': '35244'}, {'id': '10719'}]",False,False,False,False,False,False,False,False,True,True,False
8,8,8,469,Doors: Paradox,2/1/2024,2/8/2024,https://store.epicgames.com/en-US/p/doors-paradox-5896c7,b8dee54bce824477bc0b7cb298f9f9a9,88c17fed155e43068c338d33d1bcd481,1499.0,$14.99,"['1296', '1298', '1370', '9547', '1117']",Snapbreak Games AB,"[{'id': '1296'}, {'id': '1298'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}]",False,True,True,False,False,False,False,False,True,True,False
9,9,9,468,Infinifactory,1/25/2024,2/1/2024,https://store.epicgames.com/en-US/p/infinifactory-ec9686,e69075bc6dd84fa09b47af91b3ce6723,1260f09c5ab842b9a645e14f085ed5af,2499.0,$24.99,"['1298', '21138', '1188', '21140', '1370', '21146', '9547', '21149', '1294', '21150', '10719']",,"[{'id': '1298'}, {'id': '21138'}, {'id': '1188'}, {'id': '21140'}, {'id': '1370'}, {'id': '21146'}, {'id': '9547'}, {'id': '21149'}, {'id': '1294'}, {'id': '21150'}, {'id': '10719'}]",False,False,True,False,False,False,False,False,True,True,False
